"sector","process_commodity","process_description","technology_code","technology_name","technology_category","output_unit"
"Electrical engineering","IEELTH","Low temperature heat for the electrical engineering sector","IEELTHHDG01","Low-temperature heat  technology based on hydrogen (boiler)","Hydrogen","PJ"
"Electrical engineering","IEELTH","Low temperature heat for the electrical engineering sector","IEELTHLPG01","Low-temperature heat  technology based on liquified petroleum gas (boiler)","Oil","PJ"
"Electrical engineering","IEELTH","Low temperature heat for the electrical engineering sector","IEELTHNGA01","Low-temperature heat  technology based on natural gas (boiler)","Natural gas","PJ"
"Electrical engineering","IEESPC","Low temperature space heat for the electrical engineering sector","IEESPCBIOS01","Low-temperature space heat technology based on solid biomass (boiler)","Biomass","PJ"
"Electrical engineering","IEESPC","Low temperature space heat for the electrical engineering sector","IEESPCELC01","Low-temperature space heat  technology based on electricity (boiler)","Electricity","PJ"
"Electrical engineering","IEESPC","Low temperature space heat for the electrical engineering sector","IEESPCELCHP01","Low-temperature space heat technology based on heat pump","Heat pump","PJ"
"Electrical engineering","IEESPC","Low temperature space heat for the electrical engineering sector","IEESPCHCO01","Low-temperature space heat  technology based on coal (boiler)","Coal","PJ"
"Electrical engineering","IEESPC","Low temperature space heat for the electrical engineering sector","IEESPCHDG01","Low-temperature space heat  technology based on hydrogen (boiler)","Hydrogen","PJ"
"Electrical engineering","IEESPC","Low temperature space heat for the electrical engineering sector","IEESPCLPG01","Low-temperature space heat technology based on liquified petroleum gas (boiler)","Oil","PJ"
"Electrical engineering","IEESPC","Low temperature space heat for the electrical engineering sector","IEESPCNGA01","Low-temperature space heat technology based on natural gas (boiler)","Natural gas","PJ"
"Electrical engineering","IEEMOT","Motor drive for the electrical engineering sector","IEEMOTELC01","Electric motor technology","Electricity","PJ"
"Electrical engineering","IEEOTH","Other energy services for the electrical engineering sector","IEEOTHBIOS01","Generic process technology for other energy services based on solid biomass","Biomass","PJ"
"Electrical engineering","IEEOTH","Other energy services for the electrical engineering sector","IEEOTHELC01","Generic process technology for other energy services based on electricity","Electricity","PJ"
"Electrical engineering","IEEOTH","Other energy services for the electrical engineering sector","IEEOTHHCO01","Generic process technology for other energy services based on coal","Coal","PJ"
"Electrical engineering","IEEOTH","Other energy services for the electrical engineering sector","IEEOTHHDG01","Generic process technology for other energy services based on hydrogen","Hydrogen","PJ"
"Electrical engineering","IEEOTH","Other energy services for the electrical engineering sector","IEEOTHLPG01","Generic process technology for other energy services based on liquified petroleum gas","Oil","PJ"
"Electrical engineering","IEEOTH","Other energy services for the electrical engineering sector","IEEOTHNGA01","Generic process technology for other energy services based on natural gas / biomethane","Natural gas","PJ"
"Food & drink","IFD","Demand commodity for the food and drink sector (in PJ of useful energy)","IFD01","Demand technology (not an actual technology only transforms energy services (IFDDRY, IFDLTH, IFDMOT, IFDREF, IFDOTH) into final demand commodity (IFD))","Standard_FF","PJ"
"Food & drink","IFDDRY","Drying / Separation services for the food and drink sector","IFDDRYBIOS01","Drying / separation technology based on solid biomass","Biomass","PJ"
"Food & drink","IFDDRY","Drying / Separation services for the food and drink sector","IFDDRYELC01","Drying / separation technology based on electricity","Electricity","PJ"
"Food & drink","IFDDRY","Drying / Separation services for the food and drink sector","IFDDRYELCHP01","Drying / separation technology based on heat pump","Heat pump","PJ"
"Food & drink","IFDDRY","Drying / Separation services for the food and drink sector","IFDDRYHCO01","Drying / separation technology based on coal","Coal","PJ"
"Food & drink","IFDDRY","Drying / Separation services for the food and drink sector","IFDDRYHDG01","Drying / separation technology based on hydrogen","Hydrogen","PJ"
"Food & drink","IFDDRY","Drying / Separation services for the food and drink sector","IFDDRYLPG01","Drying / separation technology based on liquified petroleum gas","Oil","PJ"
"Food & drink","IFDDRY","Drying / Separation services for the food and drink sector","IFDDRYNGA01","Drying / separation technology based on natural gas","Natural gas","PJ"
"Food & drink","IFDDRY","Drying / Separation services for the food and drink sector","IFDDRYSTM01","Drying / separation technology based on low-temperature steam/heat from CHP (not an actual technology, only transfers heat from CHP plants, therefore no cost/capacity)","Steam","PJ"
"Food & drink","IFDLTH","Low temperature heat for the food and drink sector","IFDLTHBIOS01","Low-temperature heat  technology based on solid biomass (boiler)","Biomass","PJ"
"Food & drink","IFDLTH","Low temperature heat for the food and drink sector","IFDLTHELC01","Low-temperature heat  technology based on electricity (boiler)","Electricity","PJ"
"Food & drink","IFDLTH","Low temperature heat for the food and drink sector","IFDLTHELCHP01","Low-temperature heat  technology based on heat pump","Heat pump","PJ"
"Food & drink","IFDLTH","Low temperature heat for the food and drink sector","IFDLTHHCO01","Low-temperature heat  technology based on coal (boiler)","Coal","PJ"
"Food & drink","IFDLTH","Low temperature heat for the food and drink sector","IFDLTHHDG01","Low-temperature heat  technology based on hydrogen (boiler)","Hydrogen","PJ"
"Food & drink","IFDLTH","Low temperature heat for the food and drink sector","IFDLTHLPG01","Low-temperature heat  technology based on liquified petroleum gas (boiler)","Oil","PJ"
"Food & drink","IFDLTH","Low temperature heat for the food and drink sector","IFDLTHNGA01","Low-temperature heat  technology based on natural gas (boiler)","Natural gas","PJ"
"Food & drink","IFDLTH","Low temperature heat for the food and drink sector","IFDLTHSTM01","Low-temperature heat  technology based on low-temperature steam/heat from CHP (not an actual technology, only transfers heat from CHP plants, therefore no cost/capacity)","Steam","PJ"
"Food & drink","IFDSTM","Low-temperature steam/heat from CHP for the food and drink sector","IFDCHPBIOS01","Steam turbine CHP based on solid biomass","Biomass","PJ"
"Food & drink","IFDSTM","Low-temperature steam/heat from CHP for the food and drink sector","IFDCHPCCGTH01","CCGT CHP based on hydrogen","Hydrogen","PJ"
