"technology_code","technology_name","sector","technology_category","output_commodity","output_unit","emission_class","process_share_pct","process_co2_kt_per_unit","process_ch4_kt_per_unit","process_n2o_kt_per_unit","process_total_kt_per_unit","energy_direct_kt_per_unit","energy_direct_biomass_zerorated_kt_per_unit","energy_indirect_kt_per_unit","direct_total_kt_per_unit","consumes_biomass_fuel","emissions_released","n_emitting_fuel_inputs","emitting_fuel_commodities","retrofit_to","fuel_factor_year"
"ICHOTHELC01","Generic process technology for other energy services based on electricity","Chemicals","Electricity","ICHOTH","PJ","E_zero_direct",,0,0,0,0,0,0,101.010101010101,0,FALSE,1,1,"INDDISTELC",,2021
"ICHOTHHDG01","Generic process technology for other energy services based on hydrogen","Chemicals","Hydrogen","ICHOTH","PJ","E_zero_direct",,0,0,0,0,0,0,0,0,FALSE,1,0,"",,2021
"ICHOTHSTM01","Generic process technology for other energy services based on low-temperature steam/heat from CHP (not an actual technology, only transfers heat from CHP plants, therefore no cost/capacity)","Chemicals","Steam","ICHOTH","PJ","E_zero_direct",,0,0,0,0,0,0,0,0,FALSE,1,0,"",,2021
"ICHREFEHFC01","Refrigeration technology","Chemicals","Electricity","ICHREF","PJ","E_zero_direct",,0,0,0,0,0,0,111.111104488373,0,FALSE,1,1,"INDDISTELC",,2021
"ICHREFEHFO01","Advanced refrigeration technology (with HFO as refrigerant, less HFC emissions)","Chemicals","Electricity","ICHREF","PJ","E_zero_direct",,0,0,0,0,0,0,111.1111,0,FALSE,1,1,"INDDISTELC",,2021
"ICHSPCELC01","Low-temperature space heat technology based on electricity (boiler)","Chemicals","Electricity","ICHSPC","PJ","E_zero_direct",,0,0,0,0,0,0,101.010101010101,0,FALSE,1,1,"INDDISTELC",,2021
"ICHSPCELCHP01","Low-temperature space heat technology based on solid bioheat pump","Chemicals","Heat pump","ICHSPC","PJ","E_zero_direct",,0,0,0,0,0,0,25,0,FALSE,1,1,"INDDISTELC",,2021
"ICHSPCHDG01","Low-temperature space heat technology based on hydrogen (boiler)","Chemicals","Hydrogen","ICHSPC","PJ","E_zero_direct",,0,0,0,0,0,0,0,0,FALSE,1,0,"",,2021
"ICHSPCSTM01","Low-temperature heat  technology based on low-temperature steam/heat from CHP (not an actual technology, only transfers heat from CHP plants, therefore no cost/capacity)","Chemicals","Steam","ICHSPC","PJ","E_zero_direct",,0,0,0,0,0,0,0,0,FALSE,1,0,"",,2021
"ICHSTMHP01","Steam generation by heat pump","Chemicals","Heat pump","ICHSTM","PJ","E_zero_direct",,0,0,0,0,0,0,33.3333333333333,0,FALSE,1,1,"INDDISTELC",,2021
"ICNOTHBIOS01","Generic process technology for other energy services based on solid biomass","Construction","Biomass","ICNOTH","PJ","D_pure_energy",0,0,0,0,0,109.101123595506,0,0,109.101123595506,TRUE,1,1,"IND_SOLIDBIOMSW",,2021
"ICNOTHHCO01","Generic process technology for other energy services based on coal","Construction","Coal","ICNOTH","PJ","D_pure_energy",0,0,0,0,0,100.691919496602,100.691919496602,0,100.691919496602,FALSE,1,1,"INDCOA",,2021
"ICNOTHLPG01","Generic process technology for other energy services based on liquified petroleum gas","Construction","Oil","ICNOTH","PJ","D_pure_energy",0,0,0,0,0,64.7584565217391,64.7584565217391,0,64.7584565217391,FALSE,1,1,"INDLPG",,2021
"ICNOTHNGA01","Generic process technology for other energy services based on natural gas / biomethane","Construction","Natural gas","ICNOTH","PJ","D_pure_energy",0,0,0,0,0,55.6518496903673,55.6518496903673,0,55.6518496903673,FALSE,1,1,"IND_NGABOM",,2021
"ICN01","Demand technology (not an actual technology only transforms energy services (ICNOTH) into final demand commodity (ICN))","Construction","Standard_FF","ICN","PJ","E_zero_direct",,0,0,0,0,0,0,0,0,FALSE,1,0,"",,2021
"ICNOTHELC01","Generic process technology for other energy services based on electricity","Construction","Electricity","ICNOTH","PJ","E_zero_direct",,0,0,0,0,0,0,101.010101010101,0,FALSE,1,1,"INDDISTELC",,2021
"ICNOTHHDG01","Generic process technology for other energy services based on hydrogen","Construction","Hydrogen","ICNOTH","PJ","E_zero_direct",,0,0,0,0,0,0,0,0,FALSE,1,0,"",,2021
"IEEHTHBIOS01","High-temperature heat technology based on solid biomass (boiler)","Electrical engineering","Biomass","IEEHTH","PJ","D_pure_energy",0,0,0,0,0,161.833333333333,0,0,161.833333333333,TRUE,1,1,"IND_SOLIDBIOMSW",,2021
"IEEHTHHCO01","High-temperature heat technology based on coal (boiler)","Electrical engineering","Coal","IEEHTH","PJ","D_pure_energy",0,0,0,0,0,149.359680586627,149.359680586627,0,149.359680586627,FALSE,1,1,"INDCOA",,2021
